"Predicción de Índice de radiación UV máximo en condiciones de cielo despejado para el día 16 Abril"
Elaborado: jueves, 16 abril 2026 a las 02:32
Validez: jueves, 16 abril 2026 a las 12:00

"Ciudad","Radiación UV"
"Alacant/Alicante","7"
"Albacete","7"
"Almería","8"
"Arrecife","9"
"Ávila","7"
"Badajoz","7"
"Barcelona","6"
"Bilbao","6"
"Burgos","6"
"Cáceres","7"
"Cádiz","8"
"Castellón de la Plana/Castelló de la Plana","6"
"Ceuta","8"
"Ciudad Real","7"
"Córdoba","7"
"Coruña, A","6"
"Cuenca","7"
"Donostia-San Sebastián","6"
"Eivissa","7"
"Girona","6"
"Granada","8"
"Guadalajara","6"
"Huelva","8"
"Huesca","6"
"Jaén","8"
"León","6"
"Lleida","6"
"Logroño","6"
"Lugo","6"
"Madrid","7"
"Málaga","8"
"Maó","6"
"Melilla","8"
"Murcia","7"
"Ourense","6"
"Oviedo","6"
"Palencia","6"
"Palma","7"
"Palmas de Gran Canaria, Las","9"
"Pamplona/Iruña","6"
"Pontevedra","6"
"Puerto del Rosario","9"
"Salamanca","7"
"San Sebastián de la Gomera","9"
"Santa Cruz de la Palma","9"
"Santa Cruz de Tenerife","9"
"Santander","6"
"Segovia","7"
"Sevilla","7"
"Soria","7"
"Tarragona","6"
"Teruel","7"
"Toledo","7"
"Valencia","6"
"Valladolid","6"
"Valverde","9"
"Vitoria-Gasteiz","6"
"Zamora","6"
"Zaragoza","6"
"null","null"
